send_date,is_sent_securely,is_sensitive,classification,is_internal_recipient,recipient_domain,recipient_type,verification_method,is_read,sending_organizational_unit
23/10/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,Gastontvanger,Gedeelde toegangscode,Niet geopend,Secretariaat
19/12/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 2
03/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
02/12/2019,Normaal verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 1
28/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Finance
02/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
05/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Secretariaat
19/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-zes.de,,,,Secretariaat
08/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
11/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
10/11/2019,Normaal verzonden,Gevoelig,Medisch,Interne ontvanger,eigendomein.nl,,,,Secretariaat
28/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Team 1
07/10/2019,Normaal verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-drie.com,,,,Team 1
15/10/2019,Veilig verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-drie.com,Ontvanger met ZIVVER,ZIVVER,Niet geopend,Team 1
17/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
10/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Management team
01/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Secretariaat
13/10/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-vier.net,Gastontvanger,SMS,Geopend,Finance
10/10/2019,Normaal verzonden,Gevoelig,BSN in bijlage,Interne ontvanger,eigendomein.nl,,,,Secretariaat
21/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 1
30/10/2019,Normaal verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
17/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Secretariaat
04/10/2019,Normaal verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 2
16/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vijf.nl,,,,Team 1
28/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Team 1
21/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
16/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
10/12/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Team 1
05/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
30/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
24/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 2
27/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vijf.nl,,,,Secretariaat
17/12/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
27/10/2019,Normaal verzonden,Gevoelig,Medisch,Interne ontvanger,eigendomein.nl,,,,Finance
13/12/2019,Veilig verzonden,Gevoelig,BSN in bericht,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Secretariaat
15/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Team 1
12/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Team 2
03/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Team 1
29/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Secretariaat
08/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Team 1
11/10/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,Gastontvanger,Persoonlijke toegangscode,Geopend,Team 1
09/11/2019,Veilig verzonden,Gevoelig,BSN in bijlage,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
30/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
18/11/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-vijf.nl,Gastontvanger,SMS,Geopend,Secretariaat
04/12/2019,Veilig verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-twee.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 2
23/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
17/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Management team
10/10/2019,Veilig verzonden,Gevoelig,Financieel,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
06/10/2019,Veilig verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
05/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Secretariaat
29/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
09/11/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,Gastontvanger,Verificatie email,Geopend,Team 1
05/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Team 2
28/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
23/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Secretariaat
12/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 2
10/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Team 2
07/12/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-zes.de,Gastontvanger,Verificatie email,Geopend,Team 2
24/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Secretariaat
12/12/2019,Normaal verzonden,Gevoelig,Financieel,Interne ontvanger,eigendomein.nl,,,,Team 2
16/10/2019,Normaal verzonden,Gevoelig,Medisch,Interne ontvanger,eigendomein.nl,,,,Team 2
19/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
21/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 2
14/12/2019,Veilig verzonden,Gevoelig,BSN in bijlage,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Finance
01/10/2019,Veilig verzonden,Gevoelig,Financieel,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Finance
28/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 2
20/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
13/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 2
19/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
24/10/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-zes.de,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
13/10/2019,Veilig verzonden,Gevoelig,BSN in onderwerp,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
05/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Finance
30/10/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Secretariaat
26/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 1
11/11/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,Gastontvanger,Verificatie email,Niet geopend,Team 1
15/12/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Finance
03/12/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 2
24/11/2019,Veilig verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-een.nl,Gastontvanger,Persoonlijke toegangscode,Geopend,Secretariaat
03/12/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
17/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-een.nl,,,,Finance
04/11/2019,Veilig verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-een.nl,Gastontvanger,Verificatie email,Geopend,Team 1
29/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 2
31/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Team 1
20/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Management team
03/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
16/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
02/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Team 1
12/10/2019,Veilig verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-vier.net,Ontvanger met ZIVVER,ZIVVER,Geopend,Secretariaat
17/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 2
13/12/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
08/12/2019,Veilig verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Management team
27/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-zes.de,,,,Team 1
30/10/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,Gastontvanger,Persoonlijke toegangscode,Geopend,Team 1
25/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Management team
18/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
19/12/2019,Veilig verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 2
12/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vijf.nl,,,,Team 1
26/10/2019,Normaal verzonden,Gevoelig,Financieel,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 1
10/12/2019,Veilig verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-vijf.nl,Gastontvanger,SMS,Geopend,Team 2
03/10/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-twee.nl,Gastontvanger,Verificatie email,Niet geopend,Secretariaat
28/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
27/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Secretariaat
04/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
05/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
08/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 1
01/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Secretariaat
19/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
06/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
07/11/2019,Normaal verzonden,Gevoelig,Medisch,Interne ontvanger,eigendomein.nl,,,,Secretariaat
02/11/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,Gastontvanger,SMS,Niet geopend,Team 1
05/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Finance
30/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
13/10/2019,Veilig verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Finance
03/11/2019,Veilig verzonden,Gevoelig,BSN in onderwerp,Externe ontvanger,voorbeeld-domein-drie.com,Ontvanger met ZIVVER,ZIVVER,Niet geopend,Team 2
10/12/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 2
08/12/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
23/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Secretariaat
10/12/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 2
17/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Secretariaat
16/11/2019,Veilig verzonden,Gevoelig,Financieel,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Secretariaat
28/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 1
26/11/2019,Veilig verzonden,Gevoelig,BSN in bericht,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
30/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 2
06/11/2019,Veilig verzonden,Gevoelig,BSN in bijlage,Externe ontvanger,voorbeeld-domein-vier.net,Gastontvanger,SMS,Geopend,Team 2
02/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 2
17/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
11/11/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-twee.nl,Gastontvanger,Persoonlijke toegangscode,Geopend,Team 2
01/10/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,Gastontvanger,Gedeelde toegangscode,Niet geopend,Team 1
30/11/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,Gastontvanger,Persoonlijke toegangscode,Niet geopend,Team 1
03/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
14/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
04/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-zes.de,,,,Secretariaat
10/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Finance
05/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Team 2
12/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-zes.de,,,,Team 1
14/11/2019,Veilig verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-vier.net,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
14/11/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
27/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Finance
25/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
27/11/2019,Normaal verzonden,Gevoelig,BSN in bijlage,Interne ontvanger,eigendomein.nl,,,,Team 2
03/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Team 2
04/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
20/12/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
13/10/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 2
25/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 2
24/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Interne ontvanger,eigendomein.nl,,,,Team 1
17/11/2019,Normaal verzonden,Gevoelig,BSN in bericht,Interne ontvanger,eigendomein.nl,,,,Team 1
25/10/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 2
21/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vijf.nl,,,,Team 1
28/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 1
14/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
07/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 2
19/12/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
20/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 1
13/11/2019,Veilig verzonden,Gevoelig,BSN in onderwerp,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
10/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
07/12/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 2
12/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
29/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
21/11/2019,Veilig verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-een.nl,Gastontvanger,Verificatie email,Geopend,Team 2
08/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-zes.de,,,,Team 1
11/12/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,Gastontvanger,Persoonlijke toegangscode,Geopend,Team 2
30/11/2019,Normaal verzonden,Gevoelig,BSN in bericht,Interne ontvanger,eigendomein.nl,,,,Team 1
15/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Secretariaat
01/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Secretariaat
11/11/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Team 2
29/11/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-vijf.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
09/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Finance
01/11/2019,Veilig verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
25/11/2019,Veilig verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Secretariaat
11/11/2019,Veilig verzonden,Gevoelig,BSN in bijlage,Externe ontvanger,voorbeeld-domein-vier.net,Ontvanger met ZIVVER,ZIVVER,Geopend,Secretariaat
02/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 2
16/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
22/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Secretariaat
10/10/2019,Veilig verzonden,Gevoelig,BSN in bericht,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Secretariaat
24/10/2019,Normaal verzonden,Niet gevoelig,,Interne ontvanger,eigendomein.nl,,,,Finance
08/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
21/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
02/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-drie.com,,,,Secretariaat
17/12/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-zes.de,,,,Secretariaat
16/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,,,,Finance
25/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
09/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Secretariaat
06/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-vier.net,,,,Team 2
16/10/2019,Normaal verzonden,Gevoelig,Financieel,Externe ontvanger,voorbeeld-domein-vier.net,,,,Team 1
19/11/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Team 1
04/11/2019,Veilig verzonden,Gevoelig,Medisch,Externe ontvanger,voorbeeld-domein-zes.de,Ontvanger met ZIVVER,ZIVVER,Geopend,Team 1
04/10/2019,Normaal verzonden,Gevoelig,Persoonlijk,Externe ontvanger,voorbeeld-domein-zes.de,,,,Team 2
06/12/2019,Veilig verzonden,Gevoelig,BSN in bijlage,Externe ontvanger,voorbeeld-domein-een.nl,Ontvanger met ZIVVER,ZIVVER,Geopend,Finance
12/10/2019,Veilig verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-een.nl,Gastontvanger,Verificatie email,Niet geopend,Team 1
16/10/2019,Normaal verzonden,Niet gevoelig,,Externe ontvanger,voorbeeld-domein-twee.nl,,,,Secretariaat
13/12/2019,Normaal verzonden,Gevoelig,Financieel,Externe ontvanger,voorbeeld-domein-een.nl,,,,Team 2
19/10/2019,Normaal verzonden,Gevoelig,Medisch,Interne ontvanger,eigendomein.nl,,,,Secretariaat
